SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
152041,Statisticians,2.5%,187,$49 per hour,"$105,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
537065,Stockers and Order Fillers,-0.4%,"4,018",$17 per hour,"$38,100 per year",These occupations usually require a high school diploma.
432011,"Switchboard Operators, Including Answering Service",-3.6%,21,$19 per hour,"$41,000 per year",These occupations usually require a high school diploma.
113131,Training and Development Managers,1.8%,101,$65 per hour,"$146,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
131151,Training and Development Specialists,0.7%,822,$38 per hour,"$81,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
439022,Word Processors and Typists,-4.2%,6,$21 per hour,"$46,800 per year",These occupations usually require a high school diploma.
253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",-1.6%,129,$29 per hour,"$61,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251041,"Agricultural Sciences Teachers, Postsecondary",-0.4%,10,N/A,"$111,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251061,"Anthropology and Archeology Teachers, Postsecondary",-0.3%,12,N/A,"$86,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251031,"Architecture Teachers, Postsecondary",-0.2%,8,N/A,"$100,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
254011,Archivists,1.1%,34,$32 per hour,"$68,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",-0.2%,12,N/A,"$74,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251121,"Art, Drama, and Music Teachers, Postsecondary",-0.3%,83,N/A,"$69,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",-0.3%,16,N/A,"$100,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251042,"Biological Science Teachers, Postsecondary",-0.3%,57,N/A,"$95,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251011,"Business Teachers, Postsecondary",-0.3%,69,N/A,"$107,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
252023,"Career/Technical Education Teachers, Middle School",-0.3%,33,N/A,"$81,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251194,"Career/Technical Education Teachers, Postsecondary",-0.4%,253,$31 per hour,"$77,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
252032,"Career/Technical Education Teachers, Secondary School",-0.3%,196,N/A,"$78,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251052,"Chemistry Teachers, Postsecondary",-0.3%,30,N/A,"$85,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
272022,Coaches and Scouts,-3.5%,661,N/A,"$47,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251122,"Communications Teachers, Postsecondary",-0.3%,29,N/A,"$68,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251021,"Computer Science Teachers, Postsecondary",-0.4%,41,N/A,"$92,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",-0.2%,8,N/A,"$65,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
254012,Curators,-2.9%,12,$31 per hour,"$67,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251063,"Economics Teachers, Postsecondary",-0.3%,13,N/A,"$111,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
119039,"Education Administrators, All Other",0.2%,62,$40 per hour,"$93,000 per year",None
119032,"Education Administrators, Kindergarten through Secondary",-0.1%,440,N/A,"$127,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
119033,"Education Administrators, Postsecondary",-0.3%,133,$48 per hour,"$116,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
119031,"Education and Childcare Administrators, Preschool and Daycare",-3.3%,0,$27 per hour,"$56,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251081,"Education Teachers, Postsecondary",-0.3%,57,N/A,"$72,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
259099,"Educational Instruction and Library Workers, All Other",-0.3%,142,$27 per hour,"$57,000 per year",None
211012,"Educational, Guidance, and Career Counselors and Advisors",0.0%,558,$32 per hour,"$70,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
252021,"Elementary School Teachers, Except Special Education",-0.3%,"2,234",N/A,"$75,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251032,"Engineering Teachers, Postsecondary",-0.3%,47,N/A,"$124,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251123,"English Language and Literature Teachers, Postsecondary",-0.3%,71,N/A,"$68,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251053,"Environmental Science Teachers, Postsecondary",-0.2%,14,N/A,"$100,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
399031,Exercise Trainers and Group Fitness Instructors,-7.4%,0,$25 per hour,"$57,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
251192,"Family and Consumer Sciences Teachers, Postsecondary",-0.4%,6,N/A,"$64,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
259021,Farm and Home Management Educators,-1.1%,8,$24 per hour,"$55,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251124,"Foreign Language and Literature Teachers, Postsecondary",-0.3%,29,N/A,"$73,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251043,"Forestry and Conservation Science Teachers, Postsecondary",-0.7%,4,N/A,"$106,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251064,"Geography Teachers, Postsecondary",-0.3%,4,N/A,"$78,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
211091,Health Education Specialists,1.0%,178,$31 per hour,"$66,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251071,"Health Specialties Teachers, Postsecondary",1.0%,361,N/A,"$160,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251125,"History Teachers, Postsecondary",-0.3%,20,N/A,"$78,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
259031,Instructional Coordinators,-0.2%,235,$36 per hour,"$77,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
273091,Interpreters and Translators,-1.0%,126,$27 per hour,"$57,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
252012,"Kindergarten Teachers, Except Special Education",-0.3%,526,N/A,"$70,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251112,"Law Teachers, Postsecondary",-0.3%,8,N/A,"$124,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
254022,Librarians and Media Collections Specialists,-1.6%,309,$39 per hour,"$79,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
434121,"Library Assistants, Clerical",-1.1%,329,$16 per hour,"$36,300 per year",These occupations usually require a high school diploma.
251082,"Library Science Teachers, Postsecondary",-0.2%,7,N/A,"$105,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
254031,Library Technicians,N/A,N/A,$24 per hour,"$51,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
251022,"Mathematical Science Teachers, Postsecondary",-0.3%,55,N/A,"$82,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
252022,"Middle School Teachers, Except Special and Career/Technical Education",-0.3%,737,N/A,"$77,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
254013,Museum Technicians and Conservators,-5.1%,0,$21 per hour,"$50,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
251072,"Nursing Instructors and Teachers, Postsecondary",-0.3%,66,N/A,"$88,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251126,"Philosophy and Religion Teachers, Postsecondary",-0.3%,23,N/A,"$75,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251054,"Physics Teachers, Postsecondary",-0.3%,22,N/A,"$90,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251065,"Political Science Teachers, Postsecondary",-0.3%,22,N/A,"$90,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251199,"Postsecondary Teachers, All Other",-0.7%,18,N/A,"$67,600 per year",None
252011,"Preschool Teachers, Except Special Education",-3.3%,321,$16 per hour,"$36,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
251066,"Psychology Teachers, Postsecondary",-0.3%,48,N/A,"$74,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251193,"Recreation and Fitness Studies Teachers, Postsecondary",-0.3%,14,N/A,"$59,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
252031,"Secondary School Teachers, Except Special and Career/Technical Education",-0.4%,955,N/A,"$78,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
253021,Self-Enrichment Teachers,-0.5%,"1,224",$23 per hour,"$53,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
251069,"Social Sciences Teachers, Postsecondary, All Other",-0.2%,6,N/A,"$66,300 per year",None
251113,"Social Work Teachers, Postsecondary",-0.4%,11,N/A,"$87,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
251067,"Sociology Teachers, Postsecondary",-0.3%,15,N/A,"$76,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
252059,"Special Education Teachers, All Other",-0.1%,262,N/A,"$66,500 per year",None
252056,"Special Education Teachers, Elementary School",N/A,N/A,N/A,"$73,500 per year",None
252055,"Special Education Teachers, Kindergarten",N/A,N/A,N/A,"$73,500 per year",None
252057,"Special Education Teachers, Middle School",-0.5%,95,N/A,"$76,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
252051,"Special Education Teachers, Preschool",-0.4%,53,N/A,"$72,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
252058,"Special Education Teachers, Secondary School",-0.3%,169,N/A,"$78,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
253031,"Substitute Teachers, Short-Term",N/A,N/A,$21 per hour,"$43,900 per year",None
253099,"Teachers and Instructors, All Other",-0.3%,"2,280",N/A,"$53,700 per year",None
259049,"Teaching Assistants, All Other",-0.7%,"3,657",N/A,N/A,None
259044,"Teaching Assistants, Postsecondary",0.1%,159,N/A,"$43,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
259042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",N/A,N/A,N/A,"$39,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
259043,"Teaching Assistants, Special Education",N/A,N/A,N/A,"$39,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
253041,Tutors,N/A,N/A,N/A,"$53,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
132011,Accountants and Auditors,0.5%,"3,366",$38 per hour,"$84,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
152011,Actuaries,1.2%,38,$63 per hour,"$132,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
433011,Bill and Account Collectors,-1.8%,194,$20 per hour,"$47,600 per year",These occupations usually require a high school diploma.
433021,Billing and Posting Clerks,-0.1%,998,$23 per hour,"$48,000 per year",These occupations usually require a high school diploma.
434011,Brokerage Clerks,0.5%,45,$30 per hour,"$64,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
132031,Budget Analysts,0.2%,71,$38 per hour,"$80,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
131031,"Claims Adjusters, Examiners, and Investigators",0.1%,428,$36 per hour,"$76,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
132041,Credit Analysts,-0.3%,123,$37 per hour,"$84,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
434041,"Credit Authorizers, Checkers, and Clerks",0.6%,21,$24 per hour,"$50,700 per year",These occupations usually require a high school diploma.
132071,Credit Counselors,0.1%,22,$23 per hour,"$49,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
193011,Economists,2.9%,59,$50 per hour,"$111,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
132051,Financial and Investment Analysts,N/A,N/A,$41 per hour,"$93,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
433099,"Financial Clerks, All Other",-0.7%,36,$23 per hour,"$52,100 per year",None
113031,Financial Managers,0.8%,"1,103",$65 per hour,"$147,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
132054,Financial Risk Specialists,N/A,N/A,$41 per hour,"$93,300 per year",None
132099,"Financial Specialists, All Other",1.7%,"1,276",$41 per hour,"$93,300 per year",None
131032,"Insurance Appraisers, Auto Damage",0.3%,20,$34 per hour,"$74,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
439041,Insurance Claims and Policy Processing Clerks,0.0%,359,$25 per hour,"$53,300 per year",These occupations usually require a high school diploma.
413021,Insurance Sales Agents,0.2%,"1,230",$29 per hour,"$73,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
132053,Insurance Underwriters,0.0%,88,$38 per hour,"$86,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
434131,Loan Interviewers and Clerks,0.5%,326,$23 per hour,"$48,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
132072,Loan Officers,0.0%,520,$31 per hour,"$76,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
434141,New Accounts Clerks,-0.5%,40,$20 per hour,"$42,000 per year",These occupations usually require a high school diploma.
132052,Personal Financial Advisors,2.3%,662,$50 per hour,"$117,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
413031,"Securities, Commodities, and Financial Services Sales Agents",0.6%,728,$30 per hour,"$79,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
132082,Tax Preparers,0.8%,187,$24 per hour,"$56,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
433071,Tellers,-0.5%,942,$18 per hour,"$37,600 per year",These occupations usually require a high school diploma.
132023,Appraisers and Assessors of Real Estate,1.5%,235,$37 per hour,"$83,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
132022,Appraisers of Personal and Business Property,1.5%,235,$37 per hour,"$83,200 per year",None
111011,Chief Executives,0.4%,293,N/A,"$245,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
434031,"Court, Municipal, and License Clerks",-0.5%,261,$27 per hour,"$55,700 per year",These occupations usually require a high school diploma.
434061,"Eligibility Interviewers, Government Programs",0.7%,366,$27 per hour,"$55,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
132061,Financial Examiners,0.6%,51,$49 per hour,"$107,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
111031,Legislators,-0.4%,42,N/A,"$121,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
195011,Occupational Health and Safety Specialists,0.6%,210,$40 per hour,"$86,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
195012,Occupational Health and Safety Technicians,0.6%,36,$38 per hour,"$76,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
119131,Postmasters and Mail Superintendents,-1.2%,12,$37 per hour,"$80,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
119151,Social and Community Service Managers,2.9%,665,$32 per hour,"$72,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
439111,Statistical Assistants,1.1%,50,$33 per hour,"$70,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
132081,"Tax Examiners and Collectors, and Revenue Agents",0.3%,88,$32 per hour,"$70,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
536051,Transportation Inspectors,-0.8%,46,$45 per hour,"$94,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
193051,Urban and Regional Planners,-0.1%,191,$43 per hour,"$88,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291291,Acupuncturists,N/A,N/A,$37 per hour,"$97,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291211,Anesthesiologists,-0.8%,11,N/A,"$260,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
299091,Athletic Trainers,-1.0%,13,N/A,"$51,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
291181,Audiologists,-0.6%,14,$46 per hour,"$99,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
172031,Bioengineers and Biomedical Engineers,0.8%,53,$42 per hour,"$97,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
291212,Cardiologists,N/A,N/A,N/A,N/A,None
292031,Cardiovascular Technologists and Technicians,0.4%,61,$31 per hour,"$68,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291011,Chiropractors,-1.4%,0,$45 per hour,"$128,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
211094,Community Health Workers,3.1%,520,$19 per hour,"$47,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
131041,Compliance Officers,0.9%,895,$35 per hour,"$76,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
319091,Dental Assistants,-3.9%,213,$23 per hour,"$48,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291292,Dental Hygienists,-4.4%,0,$48 per hour,"$97,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291029,"Dentists, All Other Specialists",0.7%,4,$99 per hour,"$204,200 per year",None
291021,"Dentists, General",-3.7%,0,$81 per hour,"$191,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291213,Dermatologists,N/A,N/A,N/A,N/A,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
292032,Diagnostic Medical Sonographers,0.8%,117,$46 per hour,"$94,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292051,Dietetic Technicians,0.8%,21,$22 per hour,"$46,400 per year",These occupations usually require a high school diploma.
291031,Dietitians and Nutritionists,0.8%,122,$32 per hour,"$68,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
394011,Embalmers,-1.8%,6,$25 per hour,"$52,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291214,Emergency Medicine Physicians,N/A,N/A,N/A,N/A,None
191041,Epidemiologists,0.6%,47,$49 per hour,"$116,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291128,Exercise Physiologists,0.9%,17,$29 per hour,"$61,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
291215,Family Medicine Physicians,0.1%,38,N/A,"$250,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291216,General Internal Medicine Physicians,-0.7%,8,N/A,"$228,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
299092,Genetic Counselors,2.2%,9,$44 per hour,"$90,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
299021,Health Information Technologists and Medical Registrars,0.2%,261,$28 per hour,"$65,900 per year",None
292099,"Health Technologists and Technicians, All Other",-0.2%,226,$26 per hour,"$58,000 per year",None
291299,"Healthcare Diagnosing or Treating Practitioners, All Other",-0.5%,79,$37 per hour,"$97,500 per year",None
299099,"Healthcare Practitioners and Technical Workers, All Other",0.4%,110,$28 per hour,"$65,900 per year",None
319099,"Healthcare Support Workers, All Other",0.8%,419,$22 per hour,"$49,100 per year",None
292092,Hearing Aid Specialists,-0.1%,9,$25 per hour,"$54,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
311121,Home Health Aides,3.0%,"11,193",$16 per hour,"$34,000 per year",These occupations usually require a high school diploma.
292061,Licensed Practical and Licensed Vocational Nurses,-0.1%,562,$29 per hour,"$61,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292035,Magnetic Resonance Imaging Technologists,-0.1%,36,$47 per hour,"$97,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
319011,Massage Therapists,-1.1%,642,$32 per hour,"$67,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292012,Medical and Clinical Laboratory Technicians,-1.2%,200,$30 per hour,"$64,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292011,Medical and Clinical Laboratory Technologists,-1.2%,200,$30 per hour,"$64,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
119111,Medical and Health Services Managers,1.9%,799,$58 per hour,"$134,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
319092,Medical Assistants,0.8%,"1,930",$23 per hour,"$47,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292036,Medical Dosimetrists,0.0%,243,$26 per hour,"$58,000 per year",None
319093,Medical Equipment Preparers,0.2%,205,$21 per hour,"$45,700 per year",These occupations usually require a high school diploma.
292072,Medical Records Specialists,N/A,N/A,$26 per hour,"$58,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
191042,"Medical Scientists, Except Epidemiologists",0.8%,552,$39 per hour,"$93,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
436013,Medical Secretaries and Administrative Assistants,-0.1%,900,$23 per hour,"$47,100 per year",These occupations usually require a high school diploma.
319094,Medical Transcriptionists,-3.2%,68,$18 per hour,"$40,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291217,Neurologists,N/A,N/A,N/A,N/A,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
292033,Nuclear Medicine Technologists,0.6%,17,$50 per hour,"$103,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291151,Nurse Anesthetists,0.2%,39,$95 per hour,"$201,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291161,Nurse Midwives,0.4%,6,$56 per hour,"$114,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291171,Nurse Practitioners,3.0%,484,$63 per hour,"$129,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
311131,Nursing Assistants,0.8%,"4,429",$18 per hour,"$37,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291218,Obstetricians and Gynecologists,0.0%,11,N/A,"$244,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291122,Occupational Therapists,-0.2%,155,$43 per hour,"$89,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
312012,Occupational Therapy Aides,-0.2%,11,$16 per hour,"$37,800 per year",These occupations usually require a high school diploma.
312011,Occupational Therapy Assistants,0.3%,80,$31 per hour,"$64,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
292057,Ophthalmic Medical Technicians,-0.3%,87,$20 per hour,"$45,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291241,"Ophthalmologists, Except Pediatric",N/A,N/A,N/A,"$254,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
292081,"Opticians, Dispensing",-1.0%,101,$22 per hour,"$48,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
291041,Optometrists,-1.2%,7,$61 per hour,"$134,400 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291022,Oral and Maxillofacial Surgeons,-4.1%,0,N/A,"$235,000 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
311132,Orderlies,0.8%,59,$18 per hour,"$38,000 per year",These occupations usually require a high school diploma.
291023,Orthodontists,-3.3%,0,N/A,"$282,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291242,"Orthopedic Surgeons, Except Pediatric",N/A,N/A,N/A,"$248,300 per year",None
292091,Orthotists and Prosthetists,-0.6%,10,$38 per hour,"$82,600 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
291243,Pediatric Surgeons,N/A,N/A,N/A,"$248,300 per year",None
