SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
412031,Retail Salespersons,-3.3%,"6,380",$16 per hour,"$38,900 per year",These occupations usually require a high school diploma.
419099,"Sales and Related Workers, All Other",0.2%,325,$16 per hour,"$42,000 per year",None
419031,Sales Engineers,1.1%,95,$50 per hour,"$111,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
112022,Sales Managers,1.5%,985,$65 per hour,"$146,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
413091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",0.6%,"2,230",$32 per hour,"$77,500 per year",None
414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",-0.3%,"3,077",$36 per hour,"$85,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
414011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.2%,920,$47 per hour,"$116,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
419041,Telemarketers,2.1%,348,$19 per hour,"$44,800 per year",These occupations usually require a high school diploma.
131022,"Wholesale and Retail Buyers, Except Farm Products",0.6%,"1,815",$36 per hour,"$79,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
172011,Aerospace Engineers,-0.7%,279,$63 per hour,"$133,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172021,Agricultural Engineers,0.0%,1,$42 per hour,"$88,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
193091,Anthropologists and Archeologists,1.1%,28,$34 per hour,"$76,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
119041,Architectural and Engineering Managers,1.6%,467,$75 per hour,"$160,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
192011,Astronomers,-0.4%,3,$58 per hour,"$126,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
192021,Atmospheric and Space Scientists,0.4%,20,$48 per hour,"$100,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
191021,Biochemists and Biophysicists,0.3%,46,$37 per hour,"$93,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
191029,"Biological Scientists, All Other",0.5%,130,$40 per hour,"$89,300 per year",None
194021,Biological Technicians,0.9%,448,$23 per hour,"$50,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
171021,Cartographers and Photogrammetrists,-0.2%,27,$41 per hour,"$89,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172041,Chemical Engineers,0.5%,40,$50 per hour,"$111,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
194031,Chemical Technicians,0.7%,128,$25 per hour,"$52,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
192031,Chemists,0.8%,167,$43 per hour,"$92,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172051,Civil Engineers,0.2%,902,$44 per hour,"$95,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
151221,Computer and Information Research Scientists,3.1%,341,$72 per hour,"$145,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
191031,Conservation Scientists,0.6%,102,$32 per hour,"$71,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
173019,"Drafters, All Other",-0.8%,31,$22 per hour,"$53,200 per year",None
172071,Electrical Engineers,-0.3%,390,$57 per hour,"$120,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172072,"Electronics Engineers, Except Computer",-0.4%,174,$58 per hour,"$121,800 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
173029,"Engineering Technologists and Technicians, Except Drafters, All Other",0.0%,216,$40 per hour,"$81,300 per year",None
172199,"Engineers, All Other",-0.2%,210,$52 per hour,"$107,200 per year",None
192041,"Environmental Scientists and Specialists, Including Health",1.4%,404,$39 per hour,"$88,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
193092,Geographers,0.4%,5,$41 per hour,"$85,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
192042,"Geoscientists, Except Hydrologists and Geographers",1.5%,142,$42 per hour,"$96,700 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.0%,25,$48 per hour,"$103,500 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
193093,Historians,1.6%,5,$38 per hour,"$79,700 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
192043,Hydrologists,1.3%,32,$45 per hour,"$94,900 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172112,Industrial Engineers,0.0%,351,$53 per hour,"$113,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
191099,"Life Scientists, All Other",0.0%,17,$46 per hour,"$93,400 per year",None
194099,"Life, Physical, and Social Science Technicians, All Other",0.5%,160,$28 per hour,"$61,500 per year",None
172121,Marine Engineers and Naval Architects,0.1%,25,$47 per hour,"$99,300 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
172131,Materials Engineers,-0.8%,27,$46 per hour,"$100,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
192032,Materials Scientists,0.4%,40,$55 per hour,"$119,200 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
152099,"Mathematical Science Occupations, All Other",N/A,N/A,$58 per hour,"$120,700 per year",None
152021,Mathematicians,0.3%,9,$61 per hour,"$133,500 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
172141,Mechanical Engineers,-0.2%,427,$48 per hour,"$102,400 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
